First name,Middle name,Surname,ORCID iD,Project Name,Project URL,Conceptualization,Data curation,Formal analysis,Funding acquisition,Investigation,Methodology,Project administration,Resources,Software,Supervision,Validation,Visualization,Translation,Writing - original draft,Writing - review & editing,Project Managers,Project Coordinators
Kathleen,,Schmidt,0000-0002-9946-5953,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Shijun,,Yu,0000-0002-2054-4748,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Nate,,Breznau,,Replication Paper,https://forrt.org/positive-changes-replication-crisis/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,
Helena,,Hartmann,0000-0002-1331-6683,Reversals & Replications,https://forrt.org/reversals/,True,True,False,True,True,False,True,False,False,False,False,False,,True,True,False,True
Flavio,,Azevedo,0000-0001-9000-8513,Reversals & Replications,https://forrt.org/reversals/,True,True,False,True,True,False,True,False,False,False,False,False,,True,True,False,True
Lukas,,Röseler,0000-0002-6446-1901,Reversals & Replications,https://forrt.org/reversals/,True,True,False,True,True,False,False,False,True,False,False,False,,False,False,True,False
Lukas,,Wallrich,0000-0003-2121-5177,Reversals & Replications,https://forrt.org/reversals/,True,True,False,True,True,False,True,False,True,False,False,False,,False,False,True,False
Alaa,,Aldoh,0000-0003-1988-0661,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Mahmoud,M.,Elsherif,0000-0002-0540-3998,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Meng,,Liu,0000-0001-8323-2699,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Rían,,O'Mahoney,,Reversals & Replications,https://forrt.org/reversals/,False,True,True,False,False,False,False,False,False,False,False,False,,False,True,True,False
Zoran,,Pavlović,0000-0002-9231-5100,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Aleksandrina,,Skvortsova,0000-0003-0512-0792,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Valeria,,Agostini,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Laurence,,Aitchison,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False
Ali,H.,Al-Hoorie,"0000-0003-3810-5978",Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Samuel,,Alarie,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Nora,,Ammann,0009-0001-8331-9812,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False
Farid ,,Anvari,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Bradley ,J.,Baker,0000-0002-1697-4198,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Hetvi,,Bhatt,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
David,J.,Bauer,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Julia,,Beitner,0000-0002-2539-7011,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Anabel,,Belaus,0000-0001-9657-8496,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Cameron,,Brick,0000-0002-7174-8193,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Hilmar,,Brohmer,0000-0001-7763-4229,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Benjamin,,Brummernhenrich,0000-0002-5680-9170,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Anya,,Butler,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Subramanya Prasad ,,Chandrashekar,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Sau-Chin,,Chen,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Kai Li,,Chung,0000-0003-0012-8752,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Jamie,P.,Cockcroft,0000-0002-0637-8851,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Paul,,Crowe,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Oliver,,Deane,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Veronica ,,Diveica,0000-0002-5696-8200,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Andis,,Draguns,0000-0003-3284-4120,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Sam ,,Enright,,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Thomas,R. ,Evans,0000-0002-6670-0718,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Anna,,Exner,0000-0002-0741-9045,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Ben,G.,Farrar,0000-0001-8912-6133,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Gilad,,Feldman,0000-0003-2812-6599,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Adrien,,Fillon,0000-0001-8324-2715,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Felipe ,,Fontana Vieira,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Joris,,Frese,0000-0002-5871-997X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Max,C. D.,Gattie,0000-0003-4155-001X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Vaitsa ,,Giannouli,0000-0003-2176-8986,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Biljana,,Gjoneska,0000-0003-1200-6672,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Christopher,J,Graham,0000-0002-1144-7970,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Jason ,,Hausenloy,0000-0003-3271-7121,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Alina,,Herderich,0000-0002-2940-600X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Zlatomira,G.,Ilchovska,0000-0001-6682-9952,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Hirotaka ,,Imada,0000-0003-3604-4155,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Kamil,,Izydorczak,0000-0002-9870-3825,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Tamara,,Kalandadze,0000-0003-1061-1131,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Veli-Matti,,Karhulahti,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Alexandros,,Kastrinogiannis,0000-0001-6248-7385,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False
Maren ,,Klingelhöfer-Jens,0000-0002-5393-7871,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Halil,E.,Kocalar,0000-0002-7299-162X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Lina,,Koppel,0000-0002-6302-0047,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Alina,,Koppold,0000-0002-3164-3389,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Max,,Korbmacher,0000-0002-8113-2560,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Annalise ,A,LaPlume,0000-0001-6725-3270,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Jaeho,,Lee,0009-0002-5600-0336,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Nigel Mantou,,Lou,0000-0003-1363-833X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Dermot,,Lynott,0000-0001-7338-0567,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
David,,McSharry,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Maria,,Meier,0000-0002-1655-5479,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Leticia,,Micheli,0000-0003-0066-8222,Reversals & Replications,https://forrt.org/reversals/,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,False,False
David,,Moreau,0000-0002-1957-1941,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,True,
Nadja,,Moser,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Kellen ,,Mrkva,0000-0002-6316-5502,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Niyatee ,,Narkar,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Monika,,Nemcova,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Yvonne,,Oberholzer,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Julian,,Packheiser,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Shubham ,,Pandey,0000-0002-5591-8551,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Charlotte,R.,Pennington,0000-0002-5259-642X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Merle-Marie,,Pittelkow,0000-0002-7487-7898,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Willem,,Plomp,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Paul,E.,Plonski,0000-0002-6748-6020,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Ekaterina,,Pronizius,0000-0003-1446-196X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Andrew,,Pua,0000-0002-2225-5245,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Robert,,Reason,,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Jan,P.,Röer,0000-0001-7774-3433,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Robert,M.,Ross,0000-0001-8711-1675,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Kathleen,,Schmidt,0000-0002-9946-5953,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Matthias,F. J.,Sperl,0000-0002-5011-0780,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Jeffrey,R.,Stevens,0000-0003-2375-1360,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Alvin,W. M.,Tan,0000-0001-5551-7507,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Aleksandra,,Tołopiło,0000-0002-2518-6759,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Burak,,Tunca,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Wolf,,Vanpaemel,0000-0002-5855-3885,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Leigh Ann,,Vaughn,0000-0002-2399-7400,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Julia,,Wolska,0000-0001-8675-4388,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Siu Kit,,Yeung,0000-0002-5835-0981,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Mirela,,Zaneva,0000-0003-3569-931X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Gavin ,,Leech,0000-0002-9298-1488,Reversals & Replications,https://forrt.org/reversals/,True,True,True,False,True,False,False,False,True,False,False,False,,True,True,False,False
Maria,,Montefinese,0000-0002-7685-1034,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Marina ,,Tiulpakova,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Nuño,,Sempere,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Alma,,Jeftić,0000-0002-9285-2061,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Nihan,,Albayrak-Aydemir,0000-0003-3412-4311,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Patrícia ,,Arriaga,0000-0001-5766-0489,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Amélie,,Gourdon-Kanhukamwe,0000-0002-3060-1320,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Steven,,Verheyen,0000-0002-6778-6744,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Kimberly,Lewis,Meidenbauer,0000-0001-9135-6130,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Maximilian ,,Maier,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Balazs,,Aczel,0000-0001-9364-4988,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Elena,,Richert,0000-0003-0919-4879,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Aoife,,O'Mahony,0000-0002-4585-2149,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Shilaan,,Alzahawi,0000-0002-6892-4643,Reversals & Replications,https://forrt.org/reversals/,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,True,False
Samuel,,Guay,0000-0001-6990-839X,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Chun-Yu,,Lin,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Oscar,,Lecuona,0000-0003-0080-1062,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Arnon ,,Weinberg,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Gerald,H.,Vineyard,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Emir,,Efendic,0000-0002-2365-0247,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Nadia,,Adelina,0000-0002-8808-2439,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Matthew ,C,Makel,0000-0002-3837-0088,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Clove,,Haviva,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
David,,Zimmermann,0000-0001-5784-2733,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Malak,,El Halabi,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Sarah,,Jaubert,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Kevin,,Kamermans,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Jake,,Floyd,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Ligayaa,,Breemer,-,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Johanna,,Tomczak,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False
Sam,,Parsons,0000-0002-7048-4093,Reversals & Replications,https://forrt.org/reversals/,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False
Simone,,Russo,,Reversals & Replications,https://forrt.org/reversals/,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False
Tamara,,Kalandadze,0000-0003-1061-1131,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,True,True,False,False,False,False,,False,True,,
Leticia,,Micheli,0000-0003-0066-8222,Summaries,https://forrt.org/summaries/,True,False,False,False,True,False,True,True,False,True,False,False,,False,True,,
Flavio,,Azevedo,0000-0001-9000-8513,Summaries,https://forrt.org/summaries/,True,False,False,False,True,False,True,True,False,True,False,False,,False,True,,
Mahmoud ,M.,Elsherif,0000-0002-0540-3998,Summaries,https://forrt.org/summaries/,True,False,False,False,True,False,True,True,False,False,False,False,,False,True,,
Thomas,R.,Evans,0000-0002-6670-0718,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,,
Nihan,,Albayrak-Aydemir,0000-0003-3412-4311,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,,
Patrícia,,Arriaga,0000-0001-5766-0489,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,,
Madeleine,,Pownall,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
William,,Ngiam,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Aleksandrina ,,Skvortsova,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,True,True,True,False,False,False,False,,False,True,,
Yu-Fang,,Yang,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,True,True,True,False,False,False,False,,False,True,,
Giorgia,,Andreolli,0000-0001-9511-0496,Summaries,https://forrt.org/summaries/,False,False,False,False,False,True,True,True,False,False,False,False,,False,True,,
Felipe,,Vieira,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,True,True,True,False,False,False,False,,False,True,,
Aoife,,O'Mahony,,Summaries,https://forrt.org/summaries/,False,False,False,False,False,True,True,True,False,False,False,True,,False,True,,
Veronica,,Diveica,0000-0002-5696-8200,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Emily,,Friedel,0009-0001-0917-5398,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,True,False,False,,False,True,,
Fernando,,Steeb,0009-0001-7707-1486,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Tao,,Coll-Martín,0000-0002-0591-4018,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,
Biljana,,Gjoneska,0000-0003-1200-6672,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,,
Mirela,,Zaneva,0000-0003-3569-931X,Summaries,https://forrt.org/summaries/,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,,
