Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translation,Related_terms,Drafted by,Originally Drafted by,trans_title
Analytic Flexibility ," Analytic flexibility is a type of researcher degrees of freedom (Simmons, Nelson, & Simonsohn, 2011\) that refers specifically to the large number of choices made during data preprocessing and statistical analysis. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (Carp, 2012, p. 1). Analytic flexibility can be problematic, as this variability in analytic strategies can translate into variability in research outcomes, particularly when several strategies are applied, but not transparently reported (Masur, 2021)."," \[@Breznau2021\], \[@Carp2021\], \[@Jones2020\], \[@Masur2020\], \[@Simmons2011\]", Mariella Paul, Adrien Fillon; Bettina M. J . Kern; Adam Parker; Charlotte R. Pennington; Flávio Azevedo," Analytic flexibility is a type of researcher degrees of freedom (Simmons, Nelson, & Simonsohn, 2011\) that refers specifically to the large number of choices made during data preprocessing and statistical analysis. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (Carp, 2012, p. 1). Analytic flexibility can be problematic, as this variability in analytic strategies can translate into variability in research outcomes, particularly when several strategies are applied, but not transparently reported (Masur, 2021).", Garden of forking paths; Multiverse analysis; Researcher degrees of freedom,NA,NA,NA
Anonymity ," Anonymising data refers to removing, generalising, aggregating or distorting any information which may potentially identify participants, peer-reviewers, and authors, among others. Data should be anonymised so that participants are not personally identifiable. The most basic level of anonymisation is to replace participants’ names with pseudonyms (fake names) and remove references to specific places. Anonymity is particularly important for open data and data may not be made open for anonymity concerns. Anonymity and open data has been discussed within qualitative research which often focuses on personal experiences and opinions, and in quantitative research that includes participants from clinical populations.", \[@BraunClarke2013\], Claire Melia, Tsvetomira Dumbalska; Bethan Iley; Tamara Kalandadze; Bettina M.J. Kern; Sam Parsons; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall; Birgit Schmidt," Anonymising data refers to removing, generalising, aggregating or distorting any information which may potentially identify participants, peer-reviewers, and authors, among others. Data should be anonymised so that participants are not personally identifiable. The most basic level of anonymisation is to replace participants’ names with pseudonyms (fake names) and remove references to specific places. Anonymity is particularly important for open data and data may not be made open for anonymity concerns. Anonymity and open data has been discussed within qualitative research which often focuses on personal experiences and opinions, and in quantitative research that includes participants from clinical populations.", Anonymising; Clinical populations; Confidentiality; Research ethics; Research participants; Vulnerable population,NA,NA,NA
ARRIVE Guidelines ," The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) are a checklist-based set of reporting guidelines developed to improve reporting standards, and enhance replicability, within living (i.e. *in vivo*) animal research. The second generation ARRIVE guidelines, ARRIVE 2.0, were released in 2020\. In these new guidelines, the clarity has been improved, items have been prioritised and new information has been added with an accompanying “Explanation” and “Elaboration” document to provide a rationale for each item and a recommended set to add context to the study being described.", \[@Percie\_du\_Sert2020\],NA, Jamie P. Cockcroft; Mahmoud Elsherif; Elias Garcia-Pelegrin; Helena Hartmann; Wanyin Li; Charlotte R. Pennington," The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) are a checklist-based set of reporting guidelines developed to improve reporting standards, and enhance replicability, within living (i.e. *in vivo*) animal research. The second generation ARRIVE guidelines, ARRIVE 2.0, were released in 2020\. In these new guidelines, the clarity has been improved, items have been prioritised and new information has been added with an accompanying “Explanation” and “Elaboration” document to provide a rationale for each item and a recommended set to add context to the study being described.", PREPARE Guidelines; Reporting Guideline; STRANGE, Ben Farrar,NA,NA
Article Processing Charge (APC) ," An article (sometimes author) processing charge (APC) is a fee charged to authors by a publisher in exchange for publishing and hosting an open access article. APCs are often intended to compensate for a potential loss of revenue the journal may experience when moving from traditional publication models, such as subscription services or pay-per-view, to open access. While some journals charge only about US$300, APCs vary widely, from US$1000 (Advances in Methods and Practice in Psychological Science) or less to over US$10,000 (Nature). While some publishers offer waivers for researchers from certain regions of the world or who lack funds, some APCs have been criticized for being disproportionate compared to actual processing and hosting costs (Grossmann & Brembs, 2021\) and for creating possible inequities with regard to which scientists can afford to make their works freely available (Smith et al. 2020)."," \[@GrossmannBrembs2021\], \[@Smith2020\]", Nick Ballou, Ali H. Al-Hoorie; Bethan Iley; Flávio Azevedo; Robert Ross; Tobias Wingen \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_," An article (sometimes author) processing charge (APC) is a fee charged to authors by a publisher in exchange for publishing and hosting an open access article. APCs are often intended to compensate for a potential loss of revenue the journal may experience when moving from traditional publication models, such as subscription services or pay-per-view, to open access. While some journals charge only about US$300, APCs vary widely, from US$1000 (Advances in Methods and Practice in Psychological Science) or less to over US$10,000 (Nature). While some publishers offer waivers for researchers from certain regions of the world or who lack funds, some APCs have been criticized for being disproportionate compared to actual processing and hosting costs (Grossmann & Brembs, 2021\) and for creating possible inequities with regard to which scientists can afford to make their works freely available (Smith et al. 2020).", Open Access; Under-representation,NA,NA,APC
Authorship ," Authorship assigns credit for research outputs (e.g. manuscripts, data, and software) and accountability for content (McNutt et al. 2018; Patience et al. 2019). Conventions differ across disciplines, cultures, and even research groups, in their expectations of what efforts earn authorship, what the order of authorship signifies (if anything), how much accountability for the research the corresponding author assumes, and the extent to which authors are accountable for aspects of the work that they did not personally conduct."," \[@ALLEA2017\], \[@GermanResearchFoundation2019\], \[@McNutt2018\], \[@Patience2019\]",NA, Bradley Baker; Brett J. Gall; Matt Jaquiery; Charlotte R. Pennington; Flávio Azevedo; Birgit Schmidt; Yuki Yamada," Authorship assigns credit for research outputs (e.g. manuscripts, data, and software) and accountability for content (McNutt et al. 2018; Patience et al. 2019). Conventions differ across disciplines, cultures, and even research groups, in their expectations of what efforts earn authorship, what the order of authorship signifies (if anything), how much accountability for the research the corresponding author assumes, and the extent to which authors are accountable for aspects of the work that they did not personally conduct.", Co-authorship; Consortium authorship; Contributorship; CRediT; First-last-author-emphasis norm (FLAE); Gift (or Guest) Authorship; Sequence-determines-credit approach (SDC), Jacob Miranda,NA,NA
Auxiliary Hypothesis ," All theories contain assumptions about the nature of constructs and how they can be measured. However, not all predictions are derived from theories and assumptions can sometimes be drawn from other premises. Additional assumptions that are made to deduce a prediction and tested by making links to observable data. These auxiliary hypotheses are sometimes invoked to explain why a replication attempt has failed."," \[@Dienes2008\], \[@Lakatos1978\]",NA, Ali H. Al-Hoorie; Nihan Albayrak-Aydemir; Mahmoud Elsherif; Bethan Iley; Sam Parsons; Flávio Azevedo  ### **B** {#b}," All theories contain assumptions about the nature of constructs and how they can be measured. However, not all predictions are derived from theories and assumptions can sometimes be drawn from other premises. Additional assumptions that are made to deduce a prediction and tested by making links to observable data. These auxiliary hypotheses are sometimes invoked to explain why a replication attempt has failed.", Epistemic uncertainty; Hypothesis; Statistical assumptions; Hidden moderators, Alaa Aldoh,NA,NA
Badges (Open Science) ," Badges are symbols that editorial teams add to published manuscripts to acknowledge open science practices and act as incentives for researchers to share data, materials, or to embed study preregistration. As clearly-visible symbols, they are intended to signal to the reader that content has met the standard of open research required to receive the badge (typically from that journal). Different badges may be assigned for different practices, such as research having been made available and accessible in a persistent location (“open material badge” and “open data badge”), or study preregistration (“preregistration badge”)."," Hardwicke et al. (2020); Kidwell et al. (2016); Rowhani-Farid et al. (2020); Science (n.d.) \[@HardwickeEtAl2020\], \[@Kidwell2016\], \[@Rowhani\_Farid2020\], \[@Science\_C\_n\_d\]",NA, Brett Gall; Helena Hartmann; Mariella Paul; Charlotte R. Pennington; Lisa Spitzer; Suzanne L. K. Stewart," Badges are symbols that editorial teams add to published manuscripts to acknowledge open science practices and act as incentives for researchers to share data, materials, or to embed study preregistration. As clearly-visible symbols, they are intended to signal to the reader that content has met the standard of open research required to receive the badge (typically from that journal). Different badges may be assigned for different practices, such as research having been made available and accessible in a persistent location (“open material badge” and “open data badge”), or study preregistration (“preregistration badge”).", Incentives; Open Data badge; Preregistration; Triple badge, Jacob Miranda,NA,Open Science
Bayes Factor ," A continuous statistical measure for model selection used in Bayesian inference, describing the *relative* evidence for one model over another, regardless of whether the models are correct. Bayes factors (BF) range from 0 to infinity, indicating the relative strength of the evidence, and where 1 is a neutral point of no evidence. In contrast to *p*\-values, Bayes factors allow for 3 types of conclusions: a) evidence for the alternative hypothesis, b) evidence for the null hypothesis, and c) no sufficient evidence for either. Thus, BF are typically expressed as BF10 for evidence regarding the alternative compared to the null hypothesis, and as BF01 for evidence regarding the null compared to the alternative hypothesis."," \[@Hoijtink2019\], \[@Makowski2019\]", Meng Liu, Alaa AlDoh; Helena Hartmann; Connor Keating; Kai Krautter; Michele C. Lim; Suzanne L. K. Stewart; Ana Todorovic," A continuous statistical measure for model selection used in Bayesian inference, describing the *relative* evidence for one model over another, regardless of whether the models are correct. Bayes factors (BF) range from 0 to infinity, indicating the relative strength of the evidence, and where 1 is a neutral point of no evidence. In contrast to *p*\-values, Bayes factors allow for 3 types of conclusions: a) evidence for the alternative hypothesis, b) evidence for the null hypothesis, and c) no sufficient evidence for either. Thus, BF are typically expressed as BF10 for evidence regarding the alternative compared to the null hypothesis, and as BF01 for evidence regarding the null compared to the alternative hypothesis.", Bayesian inference; Bayesian statistics; Likelihood function; Null Hypothesis Significance Testing (NHST); *p*\-value,NA,NA,NA
Bayesian Inference ," A method of statistical inference based upon Bayes’ theorem, which makes use of epistemological (un)certainty using the mathematical language of probability. Bayesian inference is based on allocating (and reallocating, based on newly-observed data or evidence) credibility across possibilities. Two existing approaches to Bayesian inference include “Bayes factors” (BF) and Bayesian parameter estimation."," Dienes (2011; 2014; 2016); Etz et al. (2018); Kruschke (2015); McElreath (2020); Wagenmakers et al. (2018) \[@Dienes2011\], \[@Dienes2014\], \[@Dienes2016\], \[@EtzGronauDablander2018\], \[@Kruschke2015\], \[@McElreath2020\], \[@Wagenmakers2018\]", Charlotte R. Pennington, Alaa AlDoh; Bradley Baker; Robert Ross; Markus Weinmann; Tobias Wingen; Steven Verheyen," A method of statistical inference based upon Bayes’ theorem, which makes use of epistemological (un)certainty using the mathematical language of probability. Bayesian inference is based on allocating (and reallocating, based on newly-observed data or evidence) credibility across possibilities. Two existing approaches to Bayesian inference include “Bayes factors” (BF) and Bayesian parameter estimation.", Bayes Factor; Bayesian statistics; Bayesian Parameter Estimation,NA,NA,NA
Bayesian Parameter Estimation ," A Bayesian approach to estimating parameter values by updating a prior belief about model parameters (i.e., prior distribution) with new evidence (i.e., observed data) via a likelihood function, resulting in a posterior distribution. The posterior distribution may be summarised in a number of ways including: point estimates (mean/mode/median of a posterior probability distribution), intervals of defined boundaries, and intervals of defined mass (typically referred to as a credible interval). In turn, a posterior distribution may become a prior distribution in a subsequent estimation. A posterior distribution can also be sampled using Monte-Carlo Markov Chain methods which can be used to determine complex model uncertainties (e.g. Foreman-Mackey et al., 2013)."," Foreman-Mackey et al. (2013); McElreath (2020); Press (2007); [https://blog.stata.com/2016/11/15/introduction-to-bayesian-statistics-part-2-mcmc-and-the-metropolis-hastings-algorithm/](https://blog.stata.com/2016/11/15/introduction-to-bayesian-statistics-part-2-mcmc-and-the-metropolis-hastings-algorithm/) \[@ForemanMackey2013\], \[@McElreath2020\], \[@Press2007\], \[@Huber2016b\]", Alaa AlDoh, Mahmoud Elsherif; Helena Hartmann; Dominik Kiersz; Meng Liu; Ana Todorovic; Markus Weinmann," A Bayesian approach to estimating parameter values by updating a prior belief about model parameters (i.e., prior distribution) with new evidence (i.e., observed data) via a likelihood function, resulting in a posterior distribution. The posterior distribution may be summarised in a number of ways including: point estimates (mean/mode/median of a posterior probability distribution), intervals of defined boundaries, and intervals of defined mass (typically referred to as a credible interval). In turn, a posterior distribution may become a prior distribution in a subsequent estimation. A posterior distribution can also be sampled using Monte-Carlo Markov Chain methods which can be used to determine complex model uncertainties (e.g. Foreman-Mackey et al., 2013).", Bayes Factor; Bayesian inference; Bayesian statistics; Null Hypothesis Significance Testing (NHST),NA,NA,NA
BIDS data structure ," The Brain Imaging Data Structure (BIDS) describes a simple and easy-to-adopt way of organizing neuroimaging, electrophysiological, and behavioral data (i.e., file formats, folder structures). BIDS is a community effort developed *by* the community *for* the community and was inspired by the format used internally by the OpenfMRI repository known as [OpenNeuro](https://openneuro.org). Having initially been developed for fMRI data, the BIDS data structure has been extended for many other measures, such as EEG (Pernet et al., 2019)."," \[@GorgolewskiEtAl2016\], \[@BIDSAbout2020\]",NA, Ali H. Al-Hoorie; David Moreau; Mariella Paul; Charlotte R. Pennington," The Brain Imaging Data Structure (BIDS) describes a simple and easy-to-adopt way of organizing neuroimaging, electrophysiological, and behavioral data (i.e., file formats, folder structures). BIDS is a community effort developed *by* the community *for* the community and was inspired by the format used internally by the OpenfMRI repository known as [OpenNeuro](https://openneuro.org). Having initially been developed for fMRI data, the BIDS data structure has been extended for many other measures, such as EEG (Pernet et al., 2019).", Open Data, Tina Lonsdorf,NA,NA
BIZARRE ," This acronym refers to Barren, Institutional, Zoo, and other Rare Rearing Environments (BIZARRE). Most research for chimpanzees is conducted on this specific sample. This limits the generalizability of a large number of research findings in the chimpanzee population. The BIZARRE has been argued to reflect the universal concept of what is a chimpanzee (see also WEIRD, which has been argued to be a universal concept for what is a human)."," Clark et al. (2019); Leavens et al. (2010) \[@Clark2019\], \[@Leavens2010\]", Mahmoud Elsherif, Zoe Flack; Charlotte R. Pennington  ### ---," This acronym refers to Barren, Institutional, Zoo, and other Rare Rearing Environments (BIZARRE). Most research for chimpanzees is conducted on this specific sample. This limits the generalizability of a large number of research findings in the chimpanzee population. The BIZARRE has been argued to reflect the universal concept of what is a chimpanzee (see also WEIRD, which has been argued to be a universal concept for what is a human).", Populations; STRANGE; WEIRD,NA,NA,NA
Bottom-up approach (to Open Scholarship) ," Within academic culture, an approach focusing on the intrinsic interest of academics to improve the quality of research and research culture, for instance by making it supportive, collaborative, creative and inclusive. Usually indicates leadership from early-career researchers acting as the changemakers driving shifts and change in scientific methodology through enthusiasm and innovation, compared to a “top-down” approach initiated by more senior researchers. ""Bottom-up approaches take into account the specific local circumstances of the case itself, often using empirical data, lived experience, personal accounts, and circumstances as the starting point for developing policy solutions."""," \[@ButtonEtAl2016\], \[@ButtonEtAl2020\], \[@HartSilka2020\], \[@Meslin2009\], \[@Moran2020\], \[@Nosek2019\]",NA, Helena Hartmann; Michele C. Lim; Adam Parker; Charlotte R. Pennington; Birgit Schmidt; Marta Topor; Flávio Azevedo," Within academic culture, an approach focusing on the intrinsic interest of academics to improve the quality of research and research culture, for instance by making it supportive, collaborative, creative and inclusive. Usually indicates leadership from early-career researchers acting as the changemakers driving shifts and change in scientific methodology through enthusiasm and innovation, compared to a “top-down” approach initiated by more senior researchers. ""Bottom-up approaches take into account the specific local circumstances of the case itself, often using empirical data, lived experience, personal accounts, and circumstances as the starting point for developing policy solutions.""", Early Career Researchers (ECRs); Grassroot initiatives, Catherine Laverty,NA,to Open Scholarship
Bracketing Interviews ,"Bracketing interviews are commonly used within qualitative approaches. During these interviews researchers explore their personal subjectivities and assumptions surrounding their ongoing research. This allows researchers to be aware of their own interests and helps them to become both more reflective and critical about their research, considering how their own experiences may impact the research process. Bracketing interviews can also be subject to qualitative analysis.",NA,Claire Melia,Tamara Kalandadze; Charlotte R. Pennington; Graham Reid; Marta Topor,"Bracketing interviews are commonly used within qualitative approaches. During these interviews researchers explore their personal subjectivities and assumptions surrounding their ongoing research. This allows researchers to be aware of their own interests and helps them to become both more reflective and critical about their research, considering how their own experiences may impact the research process. Bracketing interviews can also be subject to qualitative analysis.","Qualitative research; Reflexivity; Researcher bias **Reference (s)**:  \[@RollsRelf2006\], \[@Sorsa2015\]",NA,NA,NA
Bropenscience ,"A tongue-in-cheek expression intended to raise awareness of the lack of diverse voices in open science (Bahlai, Bartlett, Burgio et al. 2019; Onie, 2020), in addition to the presence of behavior and communication styles that can be toxic or exclusionary. Importantly, not all bros are men; rather, they are individuals who demonstrate rigid thinking, lack self-awareness, and tend towards hostility, unkindness, and exclusion (Pownall et al., 2021; Whitaker & Guest, 2020). They generally belong to dominant groups who benefit from structural privileges. To address \#bropenscience, researchers should examine and address structural inequalities within academic systems and institutions.",NA,Zoe Flack,Magdalena Grose-Hodge; Helena Hartmann; Bethan Iley; Tamara Kalandadze; Adam Parker; Charlotte R. Pennington; Flávio Azevedo; Bradley Baker; Mahmoud Elsherif   ### **C** {#c},"A tongue-in-cheek expression intended to raise awareness of the lack of diverse voices in open science (Bahlai, Bartlett, Burgio et al. 2019; Onie, 2020), in addition to the presence of behavior and communication styles that can be toxic or exclusionary. Importantly, not all bros are men; rather, they are individuals who demonstrate rigid thinking, lack self-awareness, and tend towards hostility, unkindness, and exclusion (Pownall et al., 2021; Whitaker & Guest, 2020). They generally belong to dominant groups who benefit from structural privileges. To address \#bropenscience, researchers should examine and address structural inequalities within academic systems and institutions.","Diversity; Inclusion; Intersectionality; Open Science **Reference (s)**: \[@GuestTweet2017\], \[@Whitaker2020\], \[@Pownall20210\]",NA,NA,NA
CARKing ," Critiquing After the Results are Known (CARKing) refers to presenting a criticism of a design as one that you would have made in advance of the results being known. It usually forms a reaction or criticism to unwelcome or unfavourable results, results whether the critic is conscious of this fact or not."," \[@Bardsley2018\], \[@Nosek2014\]", Mahmoud Elsherif, Ali H. Al-Hoorie; Ashley Blake; Adrien Fillon; Charlotte R. Pennington," Critiquing After the Results are Known (CARKing) refers to presenting a criticism of a design as one that you would have made in advance of the results being known. It usually forms a reaction or criticism to unwelcome or unfavourable results, results whether the critic is conscious of this fact or not.", HARKing; Preregistration; Registered Report,NA,NA,NA
Center for Open Science (COS) ," A non-profit technology organization based in Charlottesville, Virginia with the mission “to increase openness, integrity, and reproducibility of research.” Among other resources, the COS hosts the Open Science Framework (OSF) and the Open Scholarship Knowledge Base.", \[@CentreForOpenScienceND\],NA, Ali H. Al-Hoorie; Mariella Paul; Charlotte R. Pennington; Lisa Spitzer," A non-profit technology organization based in Charlottesville, Virginia with the mission “to increase openness, integrity, and reproducibility of research.” Among other resources, the COS hosts the Open Science Framework (OSF) and the Open Scholarship Knowledge Base.", Open Science badges; Open Science Framework; OSF collections; OSF institutions; OSF meetings; OSF preprints; OSF registries; Registrations (Preregistrations & Registered Reports); Transparency and Openness Promotion Guidelines (TOP), Beatrix Arendt,NA,COS
Citation bias ," A biased selection of papers or authors cited and included in the references section. When citation bias is present, it is often in a way which would benefit the author(s) or reviewers, over-represents statistically significant studies, or reflects pervasive gender or racial biases (Brooks, 1985; Jannot et al., 2013; Zurn et al., 2020). One proposed solution is the use of Citation Diversity Statements, in which authors reflect on their citation practices and identify biases which may have emerged (Zurn et al., 2020)."," \[@Brooks1985\], \[@Jannot2013\], \[@Thombs2015\], \[@Zurn2020\]", Bettina M. J. Kern, Mahmoud Elsherif; Annalise A. LaPlume; Helena Hartmann; Bethan Iley; Charlotte R. Pennington; Timo Roettger; Tobias Wingen," A biased selection of papers or authors cited and included in the references section. When citation bias is present, it is often in a way which would benefit the author(s) or reviewers, over-represents statistically significant studies, or reflects pervasive gender or racial biases (Brooks, 1985; Jannot et al., 2013; Zurn et al., 2020). One proposed solution is the use of Citation Diversity Statements, in which authors reflect on their citation practices and identify biases which may have emerged (Zurn et al., 2020).", Citation diversity statement; Reporting bias,NA,NA,NA
