Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
Analytic Flexibility (Analytische Flexibilität) *,"** Analytic flexibility is a type of researcher degrees of freedom (Simmons, Nelson, & Simonsohn, 2011\) that refers specifically to the large number of choices made during data preprocessing and statistical analysis. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (Carp, 2012, p. 1). Analytic flexibility can be problematic, as this variability in analytic strategies can translate into variability in research outcomes, particularly when several strategies are applied, but not transparently reported (Masur, 2021).",NA,** Mariella Paul,** Adrien Fillon; Bettina M. J . Kern; Adam Parker; Charlotte R. Pennington; Flávio Azevedo,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Analytische Flexibilität beschreibt eine Art der Freiheitsgrade von Forschenden (Simmons, Nelson, & Simonsohn, 2011), die sich speziell auf die große Anzahl von Entscheidungen bezieht, die während der Datenvorverarbeitung und Datenauswertung getroffen werden. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (dt. \[D\]ie Bandbreite an Analyseergebnissen über verschiedene akzeptable Analysemethoden; Carp, 2012, p. 1). Analytische Flexibilität kann problematisch sein, da diese Variabilität bei Datenanalyse-Strategien zu einer Variabilität der Forschungsergebnisse führen kann, insbesondere wenn mehrere Strategien angewandt, aber nicht transparent veröffentlicht werden (Masur, 2021).",** Garden of forking paths; Multiverse analysis; Researcher degrees of freedom,** Breznau et al. (2021); Carp (2012); Jones et al. (2020); Masur (2021); Simmons et al. (2011),NA,NA
Anonymity (Anonymität) *,"** Anonymising data refers to removing, generalising, aggregating or distorting any information which may potentially identify participants, peer-reviewers, and authors, among others. Data should be anonymised so that participants are not personally identifiable. The most basic level of anonymisation is to replace participants’ names with pseudonyms (fake names) and remove references to specific places. Anonymity is particularly important for open data and data may not be made open for anonymity concerns. Anonymity and open data has been discussed within qualitative research which often focuses on personal experiences and opinions, and in quantitative research that includes participants from clinical populations.",** Braun and Clarke (2013),** Claire Melia,** Tsvetomira Dumbalska; Bethan Iley; Tamara Kalandadze; Bettina M.J. Kern; Sam Parsons; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall; Birgit Schmidt,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Das Anonymisieren von Daten meint das Entfernen, Generalisieren, Zusammenfassen oder Verzerren von jeglicher Information, die möglicherweise Versuchspersonen, Gutachter:innen, Autor:innen oder andere Personen identifizieren kann. Daten sollten so anonymisiert sein, dass Versuchspersonen nicht identifizierbar sind. Die grundlegendste Art zu anonymisieren ist es, die Namen der Versuchspersonen mit Pseudonymen (künstlichen Namen) zu ersetzen und Bezüge zu konkreten Orten zu entfernen. Anonymität ist besonders wichtig für offene Daten (Datenveröffentlichungen) und Daten können möglicherweise nicht veröffentlicht werden, sollte es Bedenken bezüglich ihrer Anonymität geben. Anonymität und offene Daten wurden sowohl für qualitative Forschung diskutiert, die oft persönliche Erfahrungen und Meinungen untersucht, als auch für quantitative Forschung mit Versuchspersonen aus klinischen Stichproben.",** Anonymising; Clinical populations; Confidentiality; Research ethics; Research participants; Vulnerable population,NA,NA,NA
ARRIVE Guidelines  (ARRIVE Leitlinien) *,"** The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) are a checklist-based set of reporting guidelines developed to improve reporting standards, and enhance replicability, within living (i.e. *in vivo*) animal research. The second generation ARRIVE guidelines, ARRIVE 2.0, were released in 2020\. In these new guidelines, the clarity has been improved, items have been prioritised and new information has been added with an accompanying “Explanation” and “Elaboration” document to provide a rationale for each item and a recommended set to add context to the study being described.",NA,NA,** Jamie P. Cockcroft; Mahmoud Elsherif; Elias Garcia-Pelegrin; Helena Hartmann; Wanyin Li; Charlotte R. Pennington,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Die ARRIVE-Leitlinien bzw. \-Guidelines (Animal Research: Reporting of In Vivo Experiments) sind ein auf Checklisten basierender Leitfaden für die Berichterstattung, der entwickelt wurde, um Veröffentlichungsstandards zu verbessern und die Reproduzierbarkeit in der Forschung an lebenden Tieren (d. h. in vivo) zu erhöhen. Die zweite Generation der ARRIVE-Leitlinien, ARRIVE 2.0, wurde im Jahr 2020 veröffentlicht. In diesen neuen Leitlinien wurde die Verständlichkeit verbessert, die Punkte wurden nach Prioritäten sortiert, und es wurden neue Informationen mit einem begleitenden ""Erklärungs-"" (Explanation)  und ""Elaborations-"" (Elaboration) Dokument hinzugefügt, um eine Begründung für jeden einzelnen Punkt zu liefern, sowie ein Vorschlag, um den Kontext der beschriebenen Studie ergänzen.",** PREPARE Guidelines; Reporting Guideline; STRANGE,** Percie du Sert et al. (2020),** Ben Farrar,NA
Article Processing Charge (Artikelverarbeitungsgebühr) *,"** An article (sometimes author) processing charge (APC) is a fee charged to authors by a publisher in exchange for publishing and hosting an open access article. APCs are often intended to compensate for a potential loss of revenue the journal may experience when moving from traditional publication models, such as subscription services or pay-per-view, to open access. While some journals charge only about US$300, APCs vary widely, from US$1000 (Advances in Methods and Practice in Psychological Science) or less to over US$10,000 (Nature). While some publishers offer waivers for researchers from certain regions of the world or who lack funds, some APCs have been criticized for being disproportionate compared to actual processing and hosting costs (Grossmann & Brembs, 2021\) and for creating possible inequities with regard to which scientists can afford to make their works freely available (Smith et al. 2020).",** Grossmann and Brembs (2021); Smith et al. (2020),** Nick Ballou,** Ali H. Al-Hoorie; Bethan Iley; Flávio Azevedo; Robert Ross; Tobias Wingen,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_","Eine Artikel- oder Autor:innen-Verarbeitungsgebühr (article processing charge, APC) ist eine Gebühr, die ein Verlag von Autor:innen für die Veröffentlichung und Bereitstellung eines frei verfügbaren (open access) Artikels verlangt. APCs sind oft dazu gedacht, mögliche Einnahmeverluste auszugleichen, die der Zeitschrift entstehen, wenn sie von traditionellen Publikationsmodellen wie Abonnements oder Pay-per-View (das Bezahlen einzelner Artikel durch Lesende) auf Open Access umstellt. Während einige Zeitschriften nur etwa 300 US-Dollar fordern, variieren die APCs stark und reichen von 1000 US-Dollar (Advances in Methods and Practice in Psychological Science; checked Dec 2023\) oder weniger bis zu über 10.000 US-Dollar (Nature; checked Dec 2023). Während einige Verlage Forschenden aus bestimmten Weltregionen oder mit geringen finanziellen Mitteln eine Gebührenbefreiung gewähren, wurden einige APCs dafür kritisiert, dass sie im Vergleich zu den tatsächlichen Bearbeitungs- und Bereitstellungs-Kosten unverhältnismäßig hoch sind (Grossmann & Brembs, 2021). Damit schaffen sie möglicherweise Ungleichheiten in Bezug darauf, welche Forschenden es sich leisten können, ihre Werke offen zugänglich zu machen (Smith et al. 2020).",** Open Access; Under-representation,NA,NA,NA
Authorship (Autor:innenschaft) *,"** Authorship assigns credit for research outputs (e.g. manuscripts, data, and software) and accountability for content (McNutt et al. 2018; Patience et al. 2019). Conventions differ across disciplines, cultures, and even research groups, in their expectations of what efforts earn authorship, what the order of authorship signifies (if anything), how much accountability for the research the corresponding author assumes, and the extent to which authors are accountable for aspects of the work that they did not personally conduct.",NA,NA,** Bradley Baker; Brett J. Gall; Matt Jaquiery; Charlotte R. Pennington; Flávio Azevedo; Birgit Schmidt; Yuki Yamada,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Mit der Autor:innenschaft (Authorship) werden Forschungsergebnisse (z. B. Manuskripte, Daten und Software) anerkannt und die Verantwortlichkeit für den Inhalt geregelt (McNutt et al. 2018; Patience et al. 2019). Die Konventionen unterscheiden sich zwischen verschiedenen Disziplinen, Kulturen und sogar Forschungsgruppen. Es gibt unterschiedliche Ansichten welche Beiträge zur Forschung Autor:innenschaft verdienen, was die Reihenfolge von Autor:innen bedeutet (wenn überhaupt etwas), wie viel Verantwortung für die Forschung der/die Korrespondenzautor:in (Corresponding Author) übernimmt und inwieweit die Autor:innen für Aspekte der Arbeit verantwortlich sind, die sie selbst nicht persönlich durchgeführt haben.",** Co-authorship; Consortium authorship; Contributorship; CRediT; First-last-author-emphasis norm (FLAE); Gift (or Guest) Authorship; Sequence-determines-credit approach (SDC),** ALLEA (2017); German Research Foundation (2019); McNutt et al. (2018); Patience et al. (2019),** Jacob Miranda,NA
Auxiliary Hypothesis (Hilfshypothese) *,"** All theories contain assumptions about the nature of constructs and how they can be measured. However, not all predictions are derived from theories and assumptions can sometimes be drawn from other premises. Additional assumptions that are made to deduce a prediction and tested by making links to observable data. These auxiliary hypotheses are sometimes invoked to explain why a replication attempt has failed.",NA,NA,** Ali H. Al-Hoorie; Nihan Albayrak-Aydemir; Mahmoud Elsherif; Bethan Iley; Sam Parsons; Flávio Azevedo,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey  ### **B** {#b}","Alle Theorien enthalten Annahmen über die Art von Konstrukten und wie sie gemessen werden können. Allerdings werden nicht alle Vorhersagen aus Theorien abgeleitet, und Annahmen können manchmal aus anderen Prämissen abgeleitet werden. Zusätzliche Annahmen, die getroffen werden, um eine Vorhersage abzuleiten, werden durch Verknüpfung mit beobachtbaren Daten geprüft. Diese Hilfshypothesen werden manchmal herangezogen, um zu erklären, warum ein Replikationsversuch fehlgeschlagen ist.",** Epistemic uncertainty; Hypothesis; Statistical assumptions; Hidden moderators,** Dienes (2008); Lakatos (1978),** Alaa Aldoh,NA
Badges (Open Science) (Open Science Abzeichen) *,"** Badges are symbols that editorial teams add to published manuscripts to acknowledge open science practices and act as incentives for researchers to share data, materials, or to embed study preregistration. As clearly-visible symbols, they are intended to signal to the reader that content has met the standard of open research required to receive the badge (typically from that journal). Different badges may be assigned for different practices, such as research having been made available and accessible in a persistent location (“open material badge” and “open data badge”), or study preregistration (“preregistration badge”).",NA,NA,** Brett Gall; Helena Hartmann; Mariella Paul; Charlotte R. Pennington; Lisa Spitzer; Suzanne L. K. Stewart,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Anzeichen (badges) sind Symbole, die Herausgeber:innen veröffentlichten Manuskripten hinzufügen, um Open-Science-Praktiken anzuerkennen und die als Anreiz für Forschende dienen, Daten und Materialien zu teilen oder ihre Studien zu präregistrieren. Als deutlich sichtbare Abzeichen sollen sie den Lesenden signalisieren, dass der Inhalt die Open Science-Anforderungen (in der Regel von dieser Zeitschrift) erfüllt, die für die Verleihung des Abzeichens erforderlich sind. Für unterschiedliche Open Science-Praktiken können verschiedene Abzeichen vergeben werden, z. B. für die Bereitstellung und Zugänglichkeit von Forschungsmaterialien und \-ergebnissen an einem permanenten Ort (""Open Material Badge"" und ""Open Data Badge"") oder für die Präregistrierung von Studien (""Preregistration Badge"").",** Incentives; Open Data badge; Preregistration; Triple badge,** Hardwicke et al. (2020); Kidwell et al. (2016); Rowhani-Farid et al. (2020); Science (n.d.),** Jacob Miranda,NA
Bayes Factor (Bayes-Faktor) *,"** A continuous statistical measure for model selection used in Bayesian inference, describing the *relative* evidence for one model over another, regardless of whether the models are correct. Bayes factors (BF) range from 0 to infinity, indicating the relative strength of the evidence, and where 1 is a neutral point of no evidence. In contrast to *p*\-values, Bayes factors allow for 3 types of conclusions: a) evidence for the alternative hypothesis, b) evidence for the null hypothesis, and c) no sufficient evidence for either. Thus, BF are typically expressed as BF10 for evidence regarding the alternative compared to the null hypothesis, and as BF01 for evidence regarding the null compared to the alternative hypothesis.",** Hoijtink et al. (2019) Makowski et al. (2019),** Meng Liu,** Alaa AlDoh; Helena Hartmann; Connor Keating; Kai Krautter; Michele C. Lim; Suzanne L. K. Stewart; Ana Todorovic,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Ein kontinuierliches statistisches Maß für die Modellauswahl bei der Bayes'schen Inferenz. Es beschreibt die *relative* Evidenz für ein Modell im Vergleich zu einem anderen, unabhängig davon, ob die Modelle korrekt sind. Bayes-Faktoren (BF) reichen von 0 bis unendlich und geben die relative Stärke der Evidenz an, wobei 1 ein neutraler Punkt ohne jegliche Evidenz ist. Im Gegensatz zu p-Werten lassen Bayes-Faktoren drei Arten von Schlussfolgerungen zu: a) Belege für die Alternativhypothese, b) Belege für die Nullhypothese und c) keine ausreichenden Belege für beide Hypothesen. Daher werden BFs in der Regel als BF10 bei Evidenz für die Alternativhypothese im Vergleich zur Nullhypothese und als BF01 bei Evidenz für die Nullhypothese im Vergleich zur Alternativhypothese ausgedrückt.",** Bayesian inference; Bayesian statistics; Likelihood function; Null Hypothesis Significance Testing (NHST); *p*\-value,NA,NA,NA
Bayesian Inference (Bayessche Inferenz) *,"** A method of statistical inference based upon Bayes’ theorem, which makes use of epistemological (un)certainty using the mathematical language of probability. Bayesian inference is based on allocating (and reallocating, based on newly-observed data or evidence) credibility across possibilities. Two existing approaches to Bayesian inference include “Bayes factors” (BF) and Bayesian parameter estimation.",** Dienes (2011; 2014; 2016); Etz et al. (2018); Kruschke (2015); McElreath (2020); Wagenmakers et al. (2018),** Charlotte R. Pennington,** Alaa Aldoh; Bradley Baker; Robert Ross; Markus Weinmann; Tobias Wingen; Steven Verheyen,** Susanne Vogel,"** Helena Hartmann, Jennifer Mattschey","Eine Methode der statistischen Inferenz oder Schlussfolgerung auf der Grundlage des Bayes'schen Theorems, welche die wissenschaftstheoretische (Un-)Sicherheit unter Zuhilfenahme der Wahrscheinlichkeit nutzt. Die Bayes'sche Schlussfolgerung basiert auf der Zuweisung (und Neuzuweisung, basierend auf neu beobachteten Daten oder gesammelter Evidenz) der Glaubhaftigkeit zu verschiedenen Möglichkeiten. Zwei bestehende Ansätze für Bayes'sche Schlussfolgerungen sind die ""Bayes-Faktoren"" (BF) und die Bayes'sche Parameterschätzung.",** Bayes Factor; Bayesian statistics; Bayesian Parameter Estimation,NA,NA,NA
Bayesian Parameter Estimation (Bayes’sche Parameter-Schätzung) *,"** A Bayesian approach to estimating parameter values by updating a prior belief about model parameters (i.e., prior distribution) with new evidence (i.e., observed data) via a likelihood function, resulting in a posterior distribution. The posterior distribution may be summarised in a number of ways including: point estimates (mean/mode/median of a posterior probability distribution), intervals of defined boundaries, and intervals of defined mass (typically referred to as a credible interval). In turn, a posterior distribution may become a prior distribution in a subsequent estimation. A posterior distribution can also be sampled using Monte-Carlo Markov Chain methods which can be used to determine complex model uncertainties (e.g. Foreman-Mackey et al., 2013).",** Foreman-Mackey et al. (2013); McElreath (2020); Press (2007); [https://blog.stata.com/2016/11/15/introduction-to-bayesian-statistics-part-2-mcmc-and-the-metropolis-hastings-algorithm/](https://blog.stata.com/2016/11/15/introduction-to-bayesian-statistics-part-2-mcmc-and-the-metropolis-hastings-algorithm/),** Alaa Aldoh,** Mahmoud Elsherif; Helena Hartmann; Dominik Kiersz; Meng Liu; Ana Todorovic; Markus Weinmann,** Helena Hartmann,"** Susanne Vogel, Jennifer Mattschey","Ein Bayes’scher Ansatz zur Schätzung von Parameterwerten (Bayesian Parameter Estimation), bei dem eine vorherige Annahme über Modellparameter (d. h. die vorherige ""Prior"" Verteilung) mit neuen Belegen (d. h. beobachteten Daten) über eine Wahrscheinlichkeitsfunktion aktualisiert wird. Dies führt zu einer posterioren Verteilung. Die resultierende (""Posterior"") Verteilung kann auf verschiedene Weise zusammengefasst werden: Punktschätzungen (Mittelwert/Modus/Median einer posterioren Wahrscheinlichkeitsverteilung), Intervalle mit definierten Grenzen und Intervalle mit definierter Masse (typischerweise als credible interval, d. h. glaubwürdiges Intervall bezeichnet). Eine Posterior-Verteilung kann wiederum in einer nachfolgenden Schätzung zu einer neuen Prior-Verteilung zusammengefasst werden. Eine Posterior-Verteilung kann auch mit Hilfe von Monte-Carlo-Markov-Ketten-Methoden untersucht werden, die zur Bestimmung komplexer Modellunsicherheiten verwendet werden können (z. B. Foreman-Mackey et al., 2013).",** Bayes Factor; Bayesian inference; Bayesian statistics; Null Hypothesis Significance Testing (NHST),NA,NA,NA
