Title,Definition,Reference,Originally drafted by,Reviewed (or Edited) by,Translated by,Translation reviewed by,Translation,Related_terms,Reference(s),Drafted by,Originally Drafted by
Likelihood Principle (مبدأ الاحتماليَّة) *,"** The notion that all information relevant to inference contained in data is provided by the likelihood. The principle suggests that the likelihood function can be used to compare the plausibility of various parameter values. While Bayesians and likelihood theorists subscribe to the likelihood principle, Neyman-Pearson theorists do not, as significance tests violate the likelihood principle because they take into account information not in the likelihood.  **",NA,NA,** Sam Parsons; Flávio Azevedo,** Ali H. Al-Hoorie,"** Ahlam Ahmed, Hiba Alomary, Ali H. Al-Hoorie, Asma Alzahrani, Mohammed Mohsen",التَّعريف:** فكرة أن جميع المعلومات ذات الصِّلة بالاستدلال الواردة في البيانات يتم توفيرها من خلال الاحتماليَّة. يشير المبدأ إلى أنَّه يمكن استخدام دالة الاحتماليَّة لمقارنة مدى معقوليَّة قيم المعلمات المختلفة. في حين يؤيد البايزيون ومنظرو الاحتماليَّة مبدأَ الاحتماليَّة، فإن منظري نيمان-بيرسون لا يؤيدونه؛ لأن الاختبارات الدّلالية تنتهك مبدأ الاحتماليّة لأنَّهم يأخذون في الاعتبار معلومات ليست في الاحتمال نفسه.  **المصطلحات ذات الصلة:** الاستدلال البايزي؛ دالة الاحتماليَّة,** Bayesian inference; Likelihood Function,** Dienes (2008); Geyer (2003; 2007);,** Alaa Aldoh,NA
Literature Review (مراجعة الأدبيَّات) *,"** Researchers often review research records on a given topic to better understand effects and phenomena of interest before embarking on a new research project, to understand how theory links to evidence or to investigate common themes and directions of existing study results and claims. Different types of reviews can be conducted depending on the research question and literature scope. To determine the scope and key concepts in a given field, researchers may want to conduct a scoping literature review. Systematic reviews aim to access and review all available records for the most accurate and unbiased representation of existing literature. Non-systematic or focused literature reviews synthesise information from a selection of studies relevant to the research question although they are uncommon due to susceptibility to biases (e.g. researcher bias; Siddaway et al., 2019).  **",NA,NA,** Jamie P. Cockcroft; Mahmoud Elsherif; Helena Hartmann; Flávio Azevedo; Meng Liu; Charlotte R. Pennington,** Ali H. Al-Hoorie,"** Ahlam Ahmed, Alaa M. Saleh, Hiba Alomary, Asma Alzahrani, Mohammed Mohsen   ### **Looking for something else?**  We have separated the glossary project across several documents, see links below:  Landing page:			[Glossary | Phase 2 | Landing page](https://docs.google.com/document/d/1BKzztg7srUeC_2Yn0b7cMbxp_vYMDlOnEYpxg_S2hWs/edit?usp=sharing) Letters A \- F:			[Glossary | Phase 2 | A-F](https://docs.google.com/document/d/1ob__Alxsnx9yqeTpurEY_N_kv56c1iiZyrg0xxf0ftg/edit?usp=sharing) Letters G \- L:			[Glossary | Phase 2 | G-L](https://docs.google.com/document/d/1LP0cEletpNumDmYHFv3seV3gL6OLQHJ7ZDLQ7T3fzNE/edit?usp=sharing) Letters M \- R: 			[Glossary | Phase 2 | M - R](https://docs.google.com/document/d/1FVIgUx717G3pBwI17LGS7y22nKMde-zg0I6AKgz4SeQ/edit?usp=sharing) Letters S \- Z:			[Glossary | Phase 2 | S - Z](https://docs.google.com/document/d/1-5CKFciwhB-WfC1DK8Sajyh8a8CgNOYvOoeZpODux8Y/edit?usp=sharing) References: 			[Glossary | Phase 2 | References](https://docs.google.com/document/d/12_F8kbnl2GP66iBkIejJeX2KnkZ13iC_jj7VVYZMxpA/edit?usp=sharing) Terms not yet defined: 		[Glossary | Phase 2 | Terms not yet defined](https://docs.google.com/document/d/16FGodUkNoNrBYyq2JqHJMNzYuZf-QbsigooMpB_ns_E/edit?usp=sharing) Contributors spreadsheet: 	[Glossary Phase 2 tenzing contributions \[FORRT\]](https://docs.google.com/spreadsheets/d/1pkvQ2-h_Hr_ZnlfmKYkuJTuYrxlqS2oSqKqoEDYlKlk/edit?usp=sharing)  [FORRT slack](https://join.slack.com/t/forrt/shared_invite/zt-alobr3z7-NOR0mTBfD1vKXn9qlOKqaQ) \- join us\! [FORRT email](mailto:FORRTproject@gmail.com) \- contact us\!","التَّعريف:** غالبًا ما يقوم الباحثون بمراجعة سجلات البحث عن موضوع معين؛ لفهم التَّأثيرات، والظَّواهر محل الاهتمام بشكل أفضل قبل االبدء في مشروع بحثي جديد؛ لفهم كيفية ارتباط النَّظرية بالأدلَّة، أو للتَّحقيق في الموضوعات والاتِّجاهات المشتركة لنتائج وادعاءات الدِّراسة الحالية. يمكن إجراء أنواع مختلفة من المراجعات اعتمادًا على سؤال البحث ونطاق الأدبيَّات.  يمكن للباحثين في حقل معرفي ما أن يقوموا بإجراء مراجعة أدبية استطلاعية لغرض تحديد النِّطاق، والمفاهيم الأساسيَّة في حقلهم المعرفي. تهدف المراجعات المنهجيَّة إلى الوصول إلى جميع السجلَّات المتاحة، ومراجعتها للحصول على تمثيل أكثر دقّة وغير متحيِّز للأدبيَّات الموجودة، بينما تهدف المراجعات غير المنهجيَّة، أو المركّزة على تجميع المعلومات من مجموعة مختارة من الدِّراسات ذات الصِّلة بسؤال البحث وإن كانت غير شائعة بسبب القابليَّة للتَّحيُّزات (مثل تحيُّز الباحث؛ Siddaway et al., 2019). **المصطلحات ذات الصِّلة:** توليف الأدلَّة، العلوم البعدية/التلوية أو البحث البعديَّ/التلوي، المراجعات السَّرديَّة، المراجعة المنهجيَّة.",** Evidence synthesis; Meta-science or Meta-research; Narrative reviews; Systematic reviews,"** Huelin et al., (2015); Munn et al., (2018); Pautasso (2013); Siddaway et al. (2019)",** Marta Topor,NA
Abstract Bias (انحياز المستخلص) *,"** The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses. **",** Duyx et al. (2019),** Ali H. Al-Hoorie,Mahmoud Elsherif; Bethan Iley; Sam Parsons; Gerald Vineyard; Eliza Woodward; Flávio Azevedo,Ali H. Al-Hoorie,"Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Asma alzahrani, Hala Alghamdi, Mohammed Mohsen",التَّعريف**: الميل نحو الإشارة إلى النَّتائج ذات الدِّلالة الإحصائيَّة في المستخلص فقط، والاكتفاء بالنَّتائج التي لا تصل بالدِّلالة الإحصائيَّة إلى داخل النَّص الرَّئيسيّ. للبحث (حيث إنَّ عدم الإبلاغ عن هذه النَّتائج يعدُّ تقريرًا انتقائيًا). يؤدي هذا التَّحيُّز إلى عدم اكتشاف الدِّراسات التي تحوي نتائج لا تصل للدِّلالة الإحصائيَّة باستخدام إجراءات الأبحاث البعديَّة المعتادة (التي تعتمد على المعلومات الموجودة في العنوان والملخَّص والكلمات الرَّئيسيَّة)، وبالتَّالي إلى التَّحيُّز في نتائج التَّحليلات البعديَّة. **المصطلحات ذات الصِّلة:** قطف الكرز (الانتقائيّة)، تحيُّز النشر (مشكلة درج الملفَّات)، التقرير الانتقائي.,** Cherry-picking; Publication bias (File Drawer Problem); Selective reporting,NA,NA,NA
Academic Impact (التَّأثير الأكاديميّ) *,"** The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC: [https://esrc.ukri.org/research/impact-toolkit/what-is-impact/](https://esrc.ukri.org/research/impact-toolkit/what-is-impact/)). **",NA,NA,** Myriam A. Baum; Adam Parker; Charlotte R. Pennington; Suzanne L. K. Stewart; Flávio Azevedo,Abdulsamad Humaidan,"Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Asma Alzahrani, Hala Alghamdi, Mohammed Mohsen",التَّعريف**: يشير هذا المصطلح إلى الإسهام الذي يحدثه النَّتاج البحثي، مثل: مقالة منشورة في التحوُّل المفاهيمي، وتطوير النَّظريات، والأساليب، والتَّطبيقات العمليَّة، سواء داخل التَّخصص  المعرفي الواحد، أو عبر التَّخصُّصات  المعرفيَّة المختلفة. ويدلُّ التَّأثير الأكاديمي كذلك على درجة التَّغيير الذي يحدثه أي نتاج، أو برنامج بحثي خارج المجال الأكاديمي، مثل التَّأثير الاجتماعي والاقتصادي. (راجع: [https://esrc.ukri.org/research/impact-toolkit/what-is-impact/](https://esrc.ukri.org/research/impact-toolkit/what-is-impact/)). **المصطلحات ذات الصّلة:** المستفيدين، **إعلان سان فرانسيسكو بشأن تقييم البحوث** ; REF,** Beneficiaries; DORA; Reach; REF,** Anon (2021),** Connor Keating,NA
Accessibility (إمكانيَّة الوصول) *,"** Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021). **",NA,NA,** Valeria Agostini; Myriam A. Baum; Mahmoud Elsherif; Bethan Iley; Tamara Kalandadze; Ryan Millager; Sara Middleton; Charlotte R. Pennington;  Madeleine Pownall; Robert M. Ross; Flávio Azevedo,Hala Alghamdi,"** Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Asma Alzahrani, Mohammed Mohsen","الَّتعريف:**  يُعرّف هذا المصطلح بسهولة الوصول، أو إمكانيَّة إعادة استخدام المواد، كالبيانات، والتَّعليمات البرمجيَّة، والمطبوعات، والمنشورات لأغراض أكاديمية، وتحديدًا للأشخاص ذوي الأمراض المزمنة، و الإعاقات، أو الاضطرابات العصبيَّة. تواجه هذه المجموعات في عملية البحث العديد من العوائق الماديَّة، والقانونيَّة، والتقنية، فمثلًا، هناك معوّق الحصول على مواد ملائمة لحالتهم، وكذلك معوّق الدخول البدني إلى المرافق. يشمل مصطلح إمكانية الوصول أيضًا: اعتبارات هيكليَّة تتعلَّق بالتَّنوع، والمساواة، والشُّمولَّية والَّتمثيل  (Pownall et al., 2021\). عند تجهيز الواجهات، والمناسبات، والمرافق يجب أخذ إمكانية الوصول بعين الاعتبار؛ لضمان المشاركة الكاملة، فمثلًا يجب التأكد من أنَّ الصُّور الإلكترونيَّة موائمة لذوي عمى الألوان، وأن تحتوي هذه الصورعلى نص بديل يوضح محتوى الصورة، أو استخدام السطرجة الفورية، أو التَّرجمة الحيَّة في المناسبات. (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021). **المصطلحات ذات الصِّلة:** التَّوفر، بيان توفر البيانات، الشُّمول، الوصول المفتوح، نقص التَّمثيل، التصميم الشامل للتَّعليم.",** Availability; Data availability statements; Inclusion; Open Access; Under-representation; Universal design for learning (UDL),** Brown et al. (2018); Pollet and Bond (2021); Pownall et al. (2021); Suber (2004); World Wide Web Consortium (2021),** Kai Krautter,NA
Ad hominem bias (تحيَّز الشَّخصنة) *,"** From Latin meaning “to the person”; Judgment of an argument or piece of work influenced by the characteristics of the person who forwarded it, not the characteristics of the argument itself. Ad hominem bias can be negative, as when work from a competitor or target of personal animosity is viewed more critically than the quality of the work merits, or positive, as when work from a friend benefits from overly favorable evaluation.  **",NA,NA,** Bradley Baker; Filip Dechterenko; Bethan Iley; Madeleine Ingham; Graham Reid,Ali H. Al-Hoorie,"Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Hala Alghamdi, Asma Alzahrani, Mohammed Mohsen","التَّعريف:** مأخوذ من المعنى اللاتيني ""إلى الشَّخص""، وهو حينما يتأثر الحكم على فكرة، أو  عمل بخصائص الشَّخص الذي قام به، وليس بخصائص العمل نفسه. يمكن أن يكون هذا التَّحيز سلبيًا، كما هو الحال عندما يقوم منافس، أو شخص له عداء شخصي بتوجيه انتقاد أقسى مما تستوجبه جودة العمل، وقد يكون إيجابيًا، كما هو الحال عندما يحصل العمل من صديق على تقييم إيجابي للغاية.  **المصطلحات ذات الصلة:** تحكيم الأقران.",** Peer review,** Barnes et al. (2018); Tvina et al. (2019),** Mahmoud Elsherif,NA
Adversarial collaboration (التَّشارك العدائي)*,** A collaboration where two or more researchers with opposing or contradictory theoretical views —and likely diverging predictions about study results— work together on one project. The aim is to minimise biases and methodological weaknesses as well as to establish a shared base of facts for which competing theories must account. **,NA,NA,** Matt Jaquiery; Aoife O’Mahony; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall**;** Martin Vasilev,Ali H. Al-Hoorie,"** Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** أن يشترك في مشروع واحد باحثان أو أكثر من مؤيدي نظريات مختلفة أو متناقضة، والذي يؤدي إلى تنبؤات متباينة محتملة حول نتائج الدِّراسة؛ والهدف من ذلك هو تقليل التَّحيزات، ونقاط الضعف المنهجيَّة إلى الحد الأدنى، وكذلك إنشاء قاعدة مشتركة من الحقائق التي يجب أن تأخذها النَّظريات المنافسة في الاعتبار.  **المصطلحات ذات الصلة:** التَّعاون، العديد من المحللين، المعامل المتعددة، التسجيل المسبق، تحيز النَّشر (مشكلة درج الملفات),** Collaboration; Many Analysts; Many Labs; Preregistration; Publication bias (File Drawer Problem),** Bateman et al. (2005); Cowan et al. (2020); Kerr et al. (2018); Mellers et al. (2001); Rakow et al. (2014),** Siu Kit Yeun,NA
Adversarial (collaborative) commentary (التَّعليق (التَّعاوني) العدائي) *,"** A commentary in which the original authors of a work and critics of said work collaborate to draft a consensus statement. The aim is to draft a commentary that is free of ad hominem attacks and communicates a common understanding or at least identifies where both parties agree and disagree. In doing so, it provides a clear take-home message and path forward, rather than leaving the reader to decide between opposing views conveyed in separate commentaries.  **",NA,NA,** Mahmoud Elsherif; Sam Parsons; Emma Henderson; Michele C. Lim; Flávio Azevedo,Ali H. Al-Hoorie,"Amani Aloufi, Ahlam Ahmed, Hiba Alomary, Asma Alzahran, Mohammed Mohsen",الَّتعريف:** تعليق يتعاون فيه المؤلفون الأصليون للعمل مع نُقّاده؛ لصياغة بيان تتوافق فيه الآراء. ويهدف الَّتعليق التَّعاوني إلى صياغة تعليق خالٍ من تحيُّز الشَّخصنة، وينقل فهمًا مشتركًا، أو على الأقل يُحدد أين يتفق الطَّرفان، وأين يختلفان. تقدّم هذه الطَّريقة رسالة واضحة ومسارًا إلى الأمام، بدلًا من ترك القارئ يختار بين وجهات النَّظر المتعارضة التي يتم نقلها في تعليقات منفصلة.  **المصطلحات ذات الصِّلة:** التَّشارك العدائي، التَّعليق التَّعاوني.,** Adversarial collaboration; Collaborative commentary,** Heyman et al. (2020); Rabagliati et al. (2019); Silberzahn et al. (2014),** Steven Verheyen,NA
Affiliation bias (تحيُّز الانتماء) *,"** This bias occurs when one’s opinions or judgements about the quality of research are influenced by the affiliation of the author(s). When publishing manuscripts, a potential example of an affiliation bias could be when editors prefer to publish work from prestigious institutions. **",NA,NA,** Christopher Graham; Madeleine Ingham; Adam Parker; Graham Reid,** Abdulsamad Humaidan,"** Amani Aloufi, Ali H. Al-Hoorie, Ahlam Ahmed, Hiba Alomary, Hala Alghamdi",التَّعريف**: يحدث هذا النُّوع من التَّحيُّز عندما يتأثر حكم أو وجهة نظر الفرد حول جودة البحوث بالمؤسسة التي ينتمي إليها الباحث. ومثال هذا النُّوع من التَّحيُّز هو عندما يفضل محررو المجلات العلميَّة نشر بحوث قادمة من مؤسسات مرموقة. **المصطلحات ذات الصِّلة:** تحكيم الأقران.,** Peer review,** Tvina et al. (2019),** Mahmoud Elsherif,NA
Aleatoric uncertainty (الاحتمال العشوائي)*,"** Variability in outcomes due to unknowable or inherently random factors. The stochastic component of outcome uncertainty that cannot be reduced through additional sources of information. For example, when flipping a coin, there is uncertainty about whether it will land on heads or tails.  **",NA,NA,** Nihan Albayrak-Aydemir**;** Brett Gall; Magdalena Grose-Hodge; Bethan Iley; Charlotte R. Pennington,** Ali H. Al-Hoorie,"** Amani Aloufi, Ahlam Ahmed، Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen",التَّعريف:** التَّباين في النَّتائج بسبب عوامل غير معروفة، أو عشوائيَّة بطبيعتها، وهذه العشوائيَّة في النَّتائج لا يمكن تقليصها من خلال مصادر إضافيَّة للمعلومات. فعلى سبيل المثال: عند قلب عملة معدنيَّة، سيكون هناك احتمال عشوائي بشأن ما إذا كانت العملة ستستقر على الصُّورة، أم الكتابة.  **مصطلحات ذات صلة:** اللايقين المعرفي; عدم اليقين النايتي (نسبة إلى العالم فرانك نايت),** Epistemic uncertainty; Knightian uncertainty,** Der Kiureghian and Ditlevsen (2009),** Bradley Baker,NA
Altmetrics (المقاييس البديلة) *,"** Departing from traditional citation measures, altmetrics (short for “alternative metrics”) provide an assessment of the attention and broader impact of research work based on diverse sources such as social media (e.g. X), digital news media, number of preprint downloads, etc. Altmetrics have been criticized in that sensational claims usually receive more attention than serious research (Ali, 2021).  **",NA,** Mirela Zaneva,** Ali H. Al-Hoorie; Charlotte R. Pennington; Birgit Schmidt; Flávio Azevedo,** Ali H. Al-Hoorie,"** Amani Aloufi, Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen  ### ---","التَّعريف:** بالابتعاد عن مقاييس الاستشهاد التَّقليديَّة، توفر المقاييس البديلة تقييمًا للاهتمام والتَّأثير الأوسع للعمل البحثي استنادًا إلى مصادر متنوعة، مثل: وسائل التَّواصل الاجتماعي (مثل X)، ووسائل الإعلام الإخباريَّة الرَّقميَّة، وعدد تنزيلات مقالات الطِّباعة الأولية، وما إلى ذلك.  أحد أوجه النَّقد لهذه المقاييس البديلة  هو أنَّ الإدِّعاءات المثيرة عادة ما تحظى باهتمام أكبر من البحث الجاد (Ali, 2021).  **المصطلحات ذات الصِّلة:** التَّأثير الأكاديميّ، المقاييس البديلة، الببليومتريّات، مؤشر إتش، معامل تأثير المجلَّة.",** Academic impact; Alternative metrics; Bibliometrics; H-index; Impact assessment; Journal impact factor,** Ali (2021); Galligan and Dyas-Correia (2013),NA,NA
AMNESIA (أمنيجا) *,"** AMNESIA is a free anonymization tool to remove identifying information from data. After uploading a dataset that contains personal data, the original dataset is transformed by the tool, resulting in a dataset that is anonymized regarding personal and sensitive data.  **",NA,** Norbert Vanek,** Ali H. Al-Hoorie; Myriam A. Baum; Charlotte R. Pennington,Hala Alghamdi,"Amani Aloufi, Ali H. Al-Hoorie, Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen",التَّعريف**: أمنيجا (Amnesia) هي أداة مجانيَّة لإخفاء الهويَّة، تقوم بإزالة المعلومات التَّعريفيَّة من البيانات، بعد تحميل مجموعة البيانات التي تحتوي على معلومات شخصيَّة، يتم تحويلها عن طريق الأداة فينتج عن ذلك بيانات خالية من المعلومات الشَّخصيَّة والحساسَّة.  **المصطلحات ذات الصِّلة:** التّعمية، السِّريَّة، أخلاقيَّات البحث.,** Anonymity; Confidentiality; Research ethics,** [https://amnesia.openaire.eu/](https://amnesia.openaire.eu/),NA,NA
Analytic Flexibility (المرونة التَّحليليَّة) *,"** Analytic flexibility is a type of researcher degrees of freedom (Simmons, Nelson, & Simonsohn, 2011\) that refers specifically to the large number of choices made during data preprocessing and statistical analysis. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (Carp, 2012, p. 1). Analytic flexibility can be problematic, as this variability in analytic strategies can translate into variability in research outcomes, particularly when several strategies are applied, but not transparently reported (Masur, 2021).  **",NA,** Mariella Paul,** Adrien Fillon; Bettina M. J . Kern; Adam Parker; Charlotte R. Pennington; Flávio Azevedo,** Naif Masrahi,"** Ahlam Ahmed, Ali H. Al-Hoorie, Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen","الَّتعريف**: نوع من درجات حريَّة الباحثين (Simmons, Nelson, & Simonsohn, 2011\) التي تشير تحديدًا إلى العدد الكبير من الخيارات التي يتم إجراؤها أثناء المعالجة المسبقة للبيانات، والتَّحليل الإحصائيّ. وتعرف كذلك بأنها ""مجموعة من نتائج التَّحليل عبر طرق تحليل مختلفة، و مقبولة"" (Carp, 2012, p. 1). يمكن أن تكون المرونة التَّحليليَّة مشكلة، حيث يمكن أن يُترجم هذا التَّباين في الاستراتيجيات التَّحليليَّة إلى تباين في نتائج البحث تحديدًا عند تطبيق العديد من الاستراتيجيَّات دون الإفصاح عنها بشفافية (Masur, 2021).  **المصطلحات ذات الصِّلة:** حديقة المسارات المتشعِّبة،  تحليل الأكوان المتعدِّدة ، درجات حرية الباحث.",** Garden of forking paths; Multiverse analysis; Researcher degrees of freedom,** Breznau et al. (2021); Carp (2012); Jones et al. (2020); Masur (2021); Simmons et al. (2011),NA,NA
Anonymity (التّعمية) *,"** Anonymising data refers to removing, generalising, aggregating or distorting any information which may potentially identify participants, peer-reviewers, and authors, among others. Data should be anonymised so that participants are not personally identifiable. The most basic level of anonymisation is to replace participants’ names with pseudonyms (fake names) and remove references to specific places. Anonymity is particularly important for open data and data may not be made open for anonymity concerns. Anonymity and open data has been discussed within qualitative research which often focuses on personal experiences and opinions, and in quantitative research that includes participants from clinical populations.  **",** Braun and Clarke (2013),** Claire Melia,** Tsvetomira Dumbalska; Bethan Iley; Tamara Kalandadze; Bettina M.J. Kern; Sam Parsons; Charlotte R. Pennington; Flávio Azevedo; Madeleine Pownall; Birgit Schmidt,** Amani Aloufi,"Ahlam Ahmed,  Ali H. Al-Hoorie, Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen",التَّعريف**: تشير عملية تعمية البيانات إلى مسح وحجب، أو تعميم، أو تغيير أي معلومات تعريفيَّة قد تشير إلى هوية المشاركين، والمحكِّمين، والمؤلِّفين وغيرهم إذ إنَّه يجب إخفاء البيانات الشَّخصيَّة لأي مشارك، حتى لا يتم التَّعرف على هويته.  تتمثل واحدة من أبسط الطُّرق في إخفاء هُوية المشاركين في تبديل أسمائهم بأسماء وهميَّة وحجب ما يشير إلى أي موقع جغرافي. تعد عملية التّعمية مهمَّة في مصادر البيانات المفتوحة، حيث إن بعض مصادر البيانات قد تبقى محجوبة؛ لأسباب تتعلق بالهُوية. ونوقش موضوع التّعمية ومصادر البيانات المفتوحة في البحوث الكيفيَّة التي تركز على التَّجارب والآراء الشَّخصيَّة، وأيضًا في البحوث الكميَّة التي تتضمَّن عينتها مشاركين في الدِّراسات السَّريريَّة. **المصطلحات ذات الصِّلة:** مجهول الهُوية، عيِّنة الدِّراسات السَّريريَّة، السِّريَّة ، أخلاقيات البحث، عيِّنة البحث، العيّنة الأكثر عُرضة للضَّرر.,** Anonymising; Clinical populations; Confidentiality; Research ethics; Research participants; Vulnerable population,NA,NA,NA
ARRIVE Guidelines ( إرشادات أرايف) *,"** The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) are a checklist-based set of reporting guidelines developed to improve reporting standards, and enhance replicability, within living (i.e. *in vivo*) animal research. The second generation ARRIVE guidelines, ARRIVE 2.0, were released in 2020\. In these new guidelines, the clarity has been improved, items have been prioritised and new information has been added with an accompanying “Explanation” and “Elaboration” document to provide a rationale for each item and a recommended set to add context to the study being described.  **",NA,NA,** Jamie P. Cockcroft; Mahmoud Elsherif; Elias Garcia-Pelegrin; Helena Hartmann; Wanyin Li; Charlotte R. Pennington,Ali H. Al-Hoorie,"** Amani Aloufi, Ahlam Ahmed, Asma Alzahrani, Hiba Alomary, Hala Alghamdi, Mohammed Mohsen","التَّعريف**: إرشادات أرايف (اختصار للبحوث الحيوانيَّة: الإبلاغ عن التَّجارب في الجسم الحي) هي مجموعة من المبادئ التَّوجيهيَّة لإعداد التقارير بناء على قائمة تحقق تم تطويرها؛ لتحسين معايير الإبلاغ، وتعزيز قابليَّة التِّكرار في بحوث الحيوانات الحية.  صدر الجيل الثَّاني من هذه الإرشادات في عام 2020\. وفي هذه المبادئ التَّوجيهيَّة الجديدة، تم إيضاح هذه البنود أكثر، وأُعطي لكلٍ منها الأولويَّة، وأُضيفت معلومات جديدة في وثيقتي ""الشَّرح"" و ""التَّفصيل"" المصاحبتين لها؛ لتوفير الأساس المنطقي لكل بند، ومجموعة من التَّوصيات لإضفاء سياق على الدراسة التي يجري وصفها.  **المصطلحات ذات الصِّلة:** إرشادات الإعداد، دليل إعداد التّقارير، سترينج:الخلفية الاجتماعية والقابلية للتتبع والاختيار الذاتي وتارخ التربية والتأقلم والتعود.",** PREPARE Guidelines; Reporting Guideline; STRANGE,** Percie du Sert et al. (2020),** Ben Farrar,NA
Article Processing Charge (APC) (رسوم النَّشر) *,"** An article (sometimes author) processing charge (APC) is a fee charged to authors by a publisher in exchange for publishing and hosting an open access article. APCs are often intended to compensate for a potential loss of revenue the journal may experience when moving from traditional publication models, such as subscription services or pay-per-view, to open access. While some journals charge only about US$300, APCs vary widely, from US$1000 (Advances in Methods and Practice in Psychological Science) or less to over US$10,000 (Nature). While some publishers offer waivers for researchers from certain regions of the world or who lack funds, some APCs have been criticized for being disproportionate compared to actual processing and hosting costs (Grossmann & Brembs, 2021\) and for creating possible inequities with regard to which scientists can afford to make their works freely available (Smith et al., 2020).  **",** Grossmann and Brembs (2021); Smith et al. (2020),** Nick Ballou,** Ali H. Al-Hoorie; Bethan Iley; Flávio Azevedo; Robert Ross; Tobias Wingen,** Mahdi Aben Ahmed,"** Amani Aloufi, Ahlam Ahmed, Ali H. Al-Hoorie, Hala Alghamdi, Mohammed Mohsen  \_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_\_","التَّعريف**: رسوم النَّشر هي رسوم يفرضها النَّاشر على المؤلفين مقابل نشر واستضافة مقال مفتوح الوصول. غالبًا ما تهدف رسوم النَّشر إلى التَّعويض عن الخسارة المحتملة في الإيرادات التي قد تتعرَّض لها المجلة عند الانتقال من نماذج النَّشر التَّقليديَّة، مثل خدمات الاشتراك، أو الدَّفع لكل عرض،  والوصول المفتوح أيضًا. في حين أنَّ بعض المجلات تتقاضى حوالي 300 دولار أمريكي فقط، فإنَّ رسوم النَّشر تتباين كثيرًا، من 1000 دولار أمريكي (مثل مجلة ""التَّقدم في الأساليب، والممارسات في العلوم النَّفسيَّة"") أو أقل، إلى أكثر من 10000 دولار أمريكي (مثل مجلة ""الطَّبيعة""). في حين أنَّ بعض النَّاشرين يقدمون إعفاءات للباحثين من مناطق معيَّنة من العالم، أو الذين لا يملكون الدَّعم، فقد تم انتقاد بعض رسوم النشر كونها لا تتناسب مع المعالجة الفعلية للبحوث والاستضافة الفعليَّة (Grossmann & Brembs, 2021\) ولكونهم قد يخلقون عدم مساواة  بين العلماء حيث أن البعض منهم  يمكنهم تحمل تكلفة إتاحة أعمالهم مجانًا (Smith et al., 2020).  **المصطلحات ذات الصِّلة:**  الوصول المفتوح، نقص التَّمثيل.",** Open Access; Under-representation,NA,NA,NA
